Fish_Type,Pond_Size,Harvest_Month,Previous_Harvest_Quantity,Average_Harvest_Last_3_Records,Total_Historical_Harvest_Records,Harvest_Quantity
Tilapia,1218,8,834,877,15,735
Catfish (Hito),1470,9,1124,1015,24,1027
Catfish (Hito),713,3,545,591,28,623
Milkfish (Bangus),534,2,389,422,18,456
Tilapia,1198,9,847,933,12,860
Carp,493,5,252,230,16,283
Carp,1181,5,640,619,30,711
Carp,487,6,287,266,6,280
Carp,796,2,492,468,26,548
Milkfish (Bangus),1256,11,950,995,13,932
Carp,500,10,322,336,3,321
Milkfish (Bangus),1226,7,1012,917,15,865
Milkfish (Bangus),1086,8,902,964,16,888
Catfish (Hito),942,2,642,564,18,660
Carp,518,4,339,316,14,337
Carp,602,12,372,378,11,402
Carp,1081,5,680,621,14,651
Tilapia,362,10,231,211,23,222
Carp,440,6,257,249,22,247
Catfish (Hito),1038,8,655,590,13,652
Milkfish (Bangus),1386,6,1033,1159,22,1150
Milkfish (Bangus),1146,10,867,776,15,881
Tilapia,820,9,488,498,8,449
Milkfish (Bangus),1321,1,1133,1113,24,1209
Tilapia,980,2,537,525,21,550
Tilapia,867,3,488,438,12,535
Carp,463,4,282,270,28,321
Milkfish (Bangus),278,2,235,252,29,247
Milkfish (Bangus),858,9,800,815,16,755
Carp,583,12,346,341,12,329
Milkfish (Bangus),1283,1,923,936,28,956
Catfish (Hito),1090,2,821,869,10,925
Milkfish (Bangus),384,8,298,262,28,279
Catfish (Hito),714,4,571,544,26,675
Catfish (Hito),613,8,418,466,17,396
Catfish (Hito),306,4,263,289,15,312
Carp,1364,3,777,740,28,894
Milkfish (Bangus),1077,5,771,820,13,852
Tilapia,1421,12,771,838,9,798
Catfish (Hito),474,5,391,360,19,396
Carp,1222,4,698,633,30,712
Tilapia,537,4,362,327,6,383
Carp,1118,10,584,630,19,627
Tilapia,1174,10,646,717,6,658
Carp,626,2,387,432,16,417
Carp,1406,6,808,836,3,746
Catfish (Hito),425,9,360,369,14,364
Catfish (Hito),1256,6,971,849,16,845
Milkfish (Bangus),1287,4,954,962,25,1130
Carp,1335,10,738,714,19,714
Tilapia,1065,12,655,612,27,650
Carp,1183,11,597,529,25,611
Milkfish (Bangus),432,3,343,311,26,401
Catfish (Hito),457,2,304,274,10,294
Catfish (Hito),319,3,206,211,7,241
Carp,742,10,435,477,11,466
Catfish (Hito),304,6,209,196,8,206
Carp,770,4,433,436,4,453
Tilapia,1292,2,898,804,4,936
Carp,1379,3,851,913,30,995
Catfish (Hito),1224,9,883,886,6,885
Carp,828,10,503,472,13,449
Milkfish (Bangus),847,2,642,620,14,676
Catfish (Hito),659,6,511,484,13,525
Catfish (Hito),1396,11,936,945,16,1017
Milkfish (Bangus),1066,3,878,908,25,961
Tilapia,1169,1,767,839,8,773
Carp,1018,8,627,559,5,587
Catfish (Hito),421,12,341,350,29,377
Carp,1244,12,657,672,29,670
Catfish (Hito),1020,3,750,764,7,817
Catfish (Hito),903,9,714,712,24,694
Tilapia,1414,11,766,684,6,771
Catfish (Hito),773,12,594,568,24,649
Carp,1203,8,659,628,10,576
Carp,434,2,253,246,29,285
Tilapia,941,12,640,637,29,656
Catfish (Hito),1484,1,1186,1068,23,1249
Carp,1046,2,619,649,6,613
Tilapia,818,9,485,480,26,473
Tilapia,627,7,434,390,28,428
Tilapia,1349,9,912,819,10,884
Tilapia,1082,2,591,652,21,633
Tilapia,551,6,382,352,7,380
Milkfish (Bangus),1070,11,743,656,4,743
Carp,1252,12,788,698,9,799
Carp,1410,2,844,918,24,871
Milkfish (Bangus),502,2,422,449,6,468
Tilapia,1314,6,866,796,7,780
Tilapia,1138,7,731,646,30,685
Tilapia,302,3,208,190,27,209
Carp,479,5,281,301,30,331
Carp,966,6,634,601,7,601
Catfish (Hito),1125,4,913,830,21,976
Catfish (Hito),755,11,489,442,16,472
Tilapia,631,8,416,430,14,388
Tilapia,761,11,495,471,9,448
Milkfish (Bangus),773,6,587,598,16,604
Catfish (Hito),1128,7,846,805,21,825
Milkfish (Bangus),936,3,797,768,15,863
Carp,1171,7,755,756,27,717
Milkfish (Bangus),1250,3,1112,1110,11,1124
Tilapia,340,11,191,180,26,192
Milkfish (Bangus),466,9,420,367,11,396
Catfish (Hito),1321,5,840,862,13,890
Catfish (Hito),706,7,594,636,29,561
Carp,1110,2,616,638,22,629
Catfish (Hito),511,10,340,311,17,348
Carp,1487,12,922,1040,18,940
Catfish (Hito),810,11,516,550,13,544
Milkfish (Bangus),837,12,624,691,7,635
Catfish (Hito),541,3,399,408,11,441
Tilapia,355,4,253,262,9,288
Milkfish (Bangus),1088,10,769,742,24,782
Carp,673,12,393,421,26,453
Milkfish (Bangus),881,6,744,812,28,756
Catfish (Hito),874,11,560,545,17,616
Catfish (Hito),1039,5,712,655,7,696
Catfish (Hito),1410,9,939,963,15,850
Milkfish (Bangus),597,3,519,584,22,615
Carp,847,12,553,584,24,628
Catfish (Hito),1228,6,775,821,27,813
Catfish (Hito),941,12,777,875,21,811
Carp,1167,12,637,575,23,605
Catfish (Hito),1222,12,999,990,16,1091
Tilapia,764,1,424,430,25,491
Milkfish (Bangus),1406,6,970,938,26,924
Milkfish (Bangus),386,12,347,371,21,392
Catfish (Hito),1175,5,727,677,25,826
Tilapia,1323,6,817,855,3,749
Carp,752,9,463,431,28,461
Catfish (Hito),685,10,472,483,26,474
Tilapia,593,7,343,306,27,317
Milkfish (Bangus),1147,6,1071,1014,25,1011
Catfish (Hito),421,2,360,379,19,392
Tilapia,740,6,469,424,28,446
Tilapia,334,5,185,183,8,210
Carp,679,6,454,483,14,453
Carp,605,5,328,313,28,390
Milkfish (Bangus),912,12,770,801,23,795
Carp,551,4,292,320,12,335
Tilapia,952,4,648,638,25,720
Carp,1494,8,920,1016,21,936
Milkfish (Bangus),481,3,356,370,18,442
Carp,891,12,445,499,15,470
Milkfish (Bangus),301,1,222,219,9,238
Carp,641,1,333,323,4,326
Carp,1123,6,606,589,8,588
Tilapia,252,4,182,158,6,187
Milkfish (Bangus),862,1,696,746,12,795
Catfish (Hito),575,3,391,389,12,450
Milkfish (Bangus),535,9,506,447,12,448
Carp,1140,3,565,512,7,654
Tilapia,261,12,146,131,8,152
Milkfish (Bangus),552,2,475,518,18,486
Milkfish (Bangus),1317,7,953,1020,20,1013
Milkfish (Bangus),568,3,469,481,28,576
Tilapia,702,9,422,454,25,436
Milkfish (Bangus),520,7,412,367,14,350
Catfish (Hito),683,5,451,477,3,524
Milkfish (Bangus),1173,10,1062,1088,11,964
Carp,429,9,230,231,22,246
Milkfish (Bangus),255,12,249,254,3,236
Catfish (Hito),1372,2,982,1013,27,1045
Catfish (Hito),313,6,220,229,19,238
Tilapia,272,1,162,178,19,175
Catfish (Hito),1014,3,709,741,18,835
